Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
"2C Logistics",,Open,08/26/2021,,"20 to 99",1,VA
"2MDS Manassas - Pro Home Cleaning LLC",,Open,02/18/2020,,"5 to 9",1,VA
"2MDS Richmond (Goins 2 Clean LLC)",,Open,02/19/2016,,"5 to 9",1,VA
"2nd Echelon Inc",,Open,10/03/2009,,"5 to 9",1,VA
"2nd Land LLC","Landmark Builders",Open,03/16/2022,,"20 to 99",1,VA
"2nd Order Solutions",,Open,10/13/2017,,"20 to 99",1,VA
"2nd Order Solutions",,Open,05/08/2023,,"20 to 99",1,VA
"2nd Solutions",,Open,10/20/2009,,"20 to 99",1,VA
"2nds in Building Materials Inc","Home Emporium",Open,09/16/2016,,"20 to 99",1,VA
"2nds in Building Materials, Inc.",,Open,03/05/2021,,"100 to 499",12,"AL, KY, LA, OH, SC, TN, VA"
"2PSwansons Service LLC",2PS,Open,04/10/2013,,"5 to 9",2,"TX, VA"
"2rw Consultants, Inc.",,Open,02/24/2012,,"20 to 99",1,VA
"2U Inc.",,Open,02/24/2020,,"5,000 to 9,999",11,"AZ, CA, CO, FL, MD, NC, NY, VA"
"2U, Inc",,Open,07/15/2019,,"1,000 to 2,499",6,"CA, CO, MD, NC, NY, VA"
"2ULIFE,LLC",,Open,01/12/2017,,"5 to 9",1,VA
"3 Bridges rural homecare LLC","3 Bridges rural homecare LLC",Open,09/29/2016,,"20 to 99",1,VA
"3 Brothers Enterprise LLC","Youve Got MAIDS",Open,06/17/2013,,"5 to 9",1,VA
"3 Bs Inc. DBA RCS Communications",,Open,06/18/2009,,"5 to 9",1,VA
"3 Kings Construction Residential",,Open,02/01/2017,,"20 to 99",2,"GA, VA"
"3 Lil Birds Express LLC",,Open,09/10/2020,,"20 to 99",1,VA
"3 Lil Birds Express LLC",,Open,01/03/2023,,"100 to 499",1,VA
"3 LIL BIRDS EXPRESS LLC",,Open,01/10/2023,,"100 to 499",1,VA
"3 Lil Birds Express LLC",,Open,01/06/2023,,"100 to 499",1,VA
"3 Reasons Consulting LLC",,Open,04/14/2020,,"20 to 99",1,VA
"3 REASONS CONSULTING LLC",,Open,02/17/2022,,"20 to 99",1,VA
"3 Red Stripes LLC","Balo Kitchen",Open,01/24/2021,,"20 to 99",1,VA
"3001 Atlantic, LLC",,Open,06/09/2021,,"100 to 499",1,VA
"300Brand, Inc.",,Open,09/10/2009,,"20 to 99",1,VA
"300Brand, Inc.",,Open,05/09/2023,,"20 to 99",1,VA
"31 OCEAN VIBE LLC",,Open,12/28/2019,,"10 to 19",1,VA
"310 Marketing Ltd","310 Ltd",Open,03/31/2015,,"20 to 99",1,VA
"3107 Atlantic, LLC",,Open,06/09/2021,,"20 to 99",1,VA
"315 Courier Company",,Open,11/16/2021,,"10 to 19",1,VA
"315 Logistics",,Open,02/18/2020,,"20 to 99",1,VA
"3202 Rosedale Properties LLC","Visiting Angels Richmond VA",Open,11/14/2019,,"20 to 99",1,VA
32AlexandriaHBH,,Open,03/26/2008,,"20 to 99",1,VA
"3315 Atlantic, LLC",,Open,06/09/2021,,"100 to 499",1,VA
"3501 Atlantic, LLC",,Open,06/09/2021,,"20 to 99",1,VA
"3544 Plank Road LLC",,Open,01/10/2008,,"10 to 19",1,VA
"360 Patriot Enterprises LLC",,Open,05/20/2015,,"20 to 99",8,"CT, DC, GA, IL, ME, NC, TX, VA"
"360 Patriot Enterprises, LLC",,Open,02/28/2018,,"100 to 499",284,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, GU, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY"
"3990 E. Williamsburg Road LLC",,Open,01/10/2008,,"10 to 19",1,VA
"3D Cleaning Of Virginia INC","3D Cleaning Of Virginia INC",Open,02/01/2016,,"20 to 99",1,VA
"3D EnviroLogics LLC","3D EnviroLogics LLC",Open,09/12/2014,,"5 to 9",1,VA
"3D Imaging and Simulation Corp Americas",3DISC,Open,06/05/2020,,"20 to 99",1,VA
"3D Systems Inc.",,Open,01/14/2009,,"1,000 to 2,499",21,"CA, CO, GA, MA, MI, NC, NY, OH, OR, PA, SC, TN, VA, WA"
"3G FEDERAL SOLUTIONS LLC","3G FEDERAL SOLUTIONS LLC",Open,09/14/2017,,"10 to 19",1,VA
"3G Logistics Enterprise","3G Logistics Enterprise",Open,12/13/2022,,"20 to 99",1,VA
"3G Logistics LLC",,Open,10/29/2020,,"20 to 99",1,VA
"3g, Inc.",,Open,01/11/2017,,"5 to 9",1,VA
3GIMBALS,3GIMBALS,Open,06/14/2021,,"20 to 99",3,"CO, FL, VA"
"3GS Enterprises",,Open,09/22/2021,,"100 to 499",2,VA
"3GS Enterprises Inc",McDonalds,Open,08/14/2016,,"20 to 99",1,VA
"3GS Enterprises Inc.",McDonalds,Open,08/14/2016,,"20 to 99",1,VA
"3I People, Inc",,Open,07/08/2013,,"20 to 99",42,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IL, IN, KS, LA, MA, MD, MI, MN, MO, MS, MT, NC, NE, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI"
"3i People, Inc.",,Open,04/02/2009,,"20 to 99",91,"CA, GA, IL, IN, MA, MI, MO, NJ, OH, OR, TX, VA, WA"
